proteinId	ecNum	definition	catalyticActivity	cofactors	associatedDiseases	pathway	pathwayClass	pathwayType
424848	2.7.7.6	DNA-directed RNA polymerase.	N nucleoside triphosphate = N diphosphate + {RNA}(N).			Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
424897	2.7.1.68	1-phosphatidylinositol-4-phosphate kinase.	ATP + 1-phosphatidyl-1D-myo-inositol 4-monophosphate = ADP + 1-phosphatidyl-1D-myo-inositol 4,5-bisphosphate.			Inositol phosphate metabolism	Metabolism of Complex Lipids	METABOLIC
425893	2.1.1.107	Uroporphyrin-III C-methyltransferase.	2 S-adenosyl-L-methionine + uroporphyrin III = 2 S-adenosyl-L- homocysteine + sirohydrochlorin.			Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
426162	1.13.11.6	3-hydroxyanthranilate 3,4-dioxygenase.	3-hydroxyanthranilate + O(2) = 2-amino-3-carboxymuconate semialdehyde.	Iron.		Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
426310	2.4.1.267							
426820	2.4.1.259							
426820	2.4.1.261							
426834	2.3.2.23							
426867	2.3.1.45	N-acetylneuraminate 7-O(or 9-O)-acetyltransferase.	Acetyl-CoA + N-acetylneuraminate = CoA + N-acetyl-7-O(or 9-O)- acetylneuraminate.					
427081	3.4.17.21	Glutamate carboxypeptidase II.	Release of an unsubstituted, C-terminal glutamyl residue, typically from Ac-Asp-Glu or folylpoly-gamma-glutamates.	Zinc.				
427254	2.5.1.9	Riboflavin synthase.	2 6,7-dimethyl-8-(1-D-ribityl)lumazine = riboflavin + 4-(1-D- ribitylamino)-5-amino-2,6-dihydroxypyrimidine.	Flavoprotein.		Riboflavin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
427257	3.6.4.13							
427625	2.3.2.23							
427847	1.2.1.11	Aspartate-semialdehyde dehydrogenase.	L-aspartate-4-semialdehyde + phosphate + NADP(+) = L-4-aspartyl phosphate + NADPH.			Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
427847	1.2.1.11	Aspartate-semialdehyde dehydrogenase.	L-aspartate-4-semialdehyde + phosphate + NADP(+) = L-4-aspartyl phosphate + NADPH.			Lysine biosynthesis	Amino Acid Metabolism	METABOLIC
427913	1.6.99.3	NADH dehydrogenase.	NADH + acceptor = NAD(+) + reduced acceptor.	Flavoprotein; Iron-sulfur.				
428191	3.1.2.4	3-hydroxyisobutyryl-CoA hydrolase.	3-hydroxy-2-methylpropanoyl-CoA + H(2)O = CoA + 3-hydroxy-2- methylpropanoate.			Valine, leucine and isoleucine degradation	Amino Acid Metabolism	METABOLIC
428191	3.1.2.4	3-hydroxyisobutyryl-CoA hydrolase.	3-hydroxy-2-methylpropanoyl-CoA + H(2)O = CoA + 3-hydroxy-2- methylpropanoate.			Propanoate metabolism	Carbohydrate Metabolism	METABOLIC
428191	3.1.2.4	3-hydroxyisobutyryl-CoA hydrolase.	3-hydroxy-2-methylpropanoyl-CoA + H(2)O = CoA + 3-hydroxy-2- methylpropanoate.			beta-Alanine metabolism	Metabolism of Other Amino Acids	METABOLIC
428285	2.4.1.18	1,4-alpha-glucan branching enzyme.	Formation of 1,6-glucosidic linkages of glycogen.		Glycogen storage disease IV; MIM:232500.	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
428476	3.6.4.13							
428630	2.3.1.225							
428892	3.5.1.98							
428898	2.7.4.2	Phosphomevalonate kinase.	ATP + (R)-5-phosphomevalonate = ADP + (R)-5-diphosphomevalonate.			Sterol biosynthesis	Lipid Metabolism	METABOLIC
428929	2.4.1.186	Glycogenin glucosyltransferase.	UDP-glucose + glycogenin = UDP + glucosylglycogenin.					
429074	3.1.13.4	Poly(A)-specific ribonuclease.	"Exonucleolytic cleavage of poly(A) to 5'-AMP."					
429537	2.7.11.1							
429593	4.2.3.1							
429627	2.7.11.22							
429627	2.7.11.23							
429633	5.1.3.1	Ribulose-phosphate 3-epimerase.	D-ribulose 5-phosphate = D-xylulose 5-phosphate.			Pentose phosphate pathway	Carbohydrate Metabolism	METABOLIC
429633	5.1.3.1	Ribulose-phosphate 3-epimerase.	D-ribulose 5-phosphate = D-xylulose 5-phosphate.			Carbon fixation	Energy Metabolism	METABOLIC
429633	5.1.3.1	Ribulose-phosphate 3-epimerase.	D-ribulose 5-phosphate = D-xylulose 5-phosphate.			Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC
430078	4.1.1.33	Diphosphomevalonate decarboxylase.	ATP + (R)-5-diphosphomevalonate = ADP + phosphate + isopentenyl diphosphate + CO(2).			Sterol biosynthesis	Lipid Metabolism	METABOLIC
430520	4.2.1.53	Oleate hydratase.	(R)-10-hydroxystearate = oleate + H(2)O.					
430527	1.3.1.33	Protochlorophyllide reductase.	Chlorophyllide A + NADP(+) = protochlorophyllide + NADPH.			Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
430553	3.4.25.1	Proteasome endopeptidase complex.	Cleavage at peptide bonds with very broad specificity.					
430679	2.1.1.1	Nicotinamide N-methyltransferase.	S-adenosyl-L-methionine + nicotinamide = S-adenosyl-L-homocysteine + 1-methylnicotinamide.			Nicotinate and nicotinamide metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
430739	3.6.4.13							
430805	3.2.1.101	Mannan endo-1,6-beta-mannosidase.	Random hydrolysis of 1,6-beta-D-mannosidic linkages in unbranched 1,6-mannans.					
431095	2.7.11.1							
431151	2.3.3.13							
431153	5.2.1.8	Peptidylprolyl isomerase.	Peptidylproline (omega=180) = peptidylproline (omega=0).					
431205	1.1.1.173	L-rhamnose 1-dehydrogenase.	L-rhamnofuranose + NAD(+) = L-rhamno-1,4-lactone + NADH.			Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
431205	1.1.1.377							
431205	1.1.1.378							
431222	1.2.1.3	Aldehyde dehydrogenase (NAD+).	An aldehyde + NAD(+) + H(2)O = an acid + NADH.		Acute alcohol intolerance; MIM:100650.	1,2-Dichloroethane degradation	Biodegradation of Xenobiotics	METABOLIC
431222	1.2.1.3	Aldehyde dehydrogenase (NAD+).	An aldehyde + NAD(+) + H(2)O = an acid + NADH.		Acute alcohol intolerance; MIM:100650.	Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
431222	1.2.1.3	Aldehyde dehydrogenase (NAD+).	An aldehyde + NAD(+) + H(2)O = an acid + NADH.		Acute alcohol intolerance; MIM:100650.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
431222	1.2.1.3	Aldehyde dehydrogenase (NAD+).	An aldehyde + NAD(+) + H(2)O = an acid + NADH.		Acute alcohol intolerance; MIM:100650.	Valine, leucine and isoleucine degradation	Amino Acid Metabolism	METABOLIC
431222	1.2.1.3	Aldehyde dehydrogenase (NAD+).	An aldehyde + NAD(+) + H(2)O = an acid + NADH.		Acute alcohol intolerance; MIM:100650.	Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC
431222	1.2.1.3	Aldehyde dehydrogenase (NAD+).	An aldehyde + NAD(+) + H(2)O = an acid + NADH.		Acute alcohol intolerance; MIM:100650.	Propanoate metabolism	Carbohydrate Metabolism	METABOLIC
431222	1.2.1.3	Aldehyde dehydrogenase (NAD+).	An aldehyde + NAD(+) + H(2)O = an acid + NADH.		Acute alcohol intolerance; MIM:100650.	Fatty acid metabolism	Lipid Metabolism	METABOLIC
431222	1.2.1.3	Aldehyde dehydrogenase (NAD+).	An aldehyde + NAD(+) + H(2)O = an acid + NADH.		Acute alcohol intolerance; MIM:100650.	Bile acid biosynthesis	Lipid Metabolism	METABOLIC
431222	1.2.1.3	Aldehyde dehydrogenase (NAD+).	An aldehyde + NAD(+) + H(2)O = an acid + NADH.		Acute alcohol intolerance; MIM:100650.	Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
431222	1.2.1.3	Aldehyde dehydrogenase (NAD+).	An aldehyde + NAD(+) + H(2)O = an acid + NADH.		Acute alcohol intolerance; MIM:100650.	Butanoate metabolism	Carbohydrate Metabolism	METABOLIC
431222	1.2.1.3	Aldehyde dehydrogenase (NAD+).	An aldehyde + NAD(+) + H(2)O = an acid + NADH.		Acute alcohol intolerance; MIM:100650.	beta-Alanine metabolism	Metabolism of Other Amino Acids	METABOLIC
431222	1.2.1.3	Aldehyde dehydrogenase (NAD+).	An aldehyde + NAD(+) + H(2)O = an acid + NADH.		Acute alcohol intolerance; MIM:100650.	Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC
431222	1.2.1.3	Aldehyde dehydrogenase (NAD+).	An aldehyde + NAD(+) + H(2)O = an acid + NADH.		Acute alcohol intolerance; MIM:100650.	Histidine metabolism	Amino Acid Metabolism	METABOLIC
431222	1.2.1.3	Aldehyde dehydrogenase (NAD+).	An aldehyde + NAD(+) + H(2)O = an acid + NADH.		Acute alcohol intolerance; MIM:100650.	Lysine degradation	Amino Acid Metabolism	METABOLIC
431222	1.2.1.3	Aldehyde dehydrogenase (NAD+).	An aldehyde + NAD(+) + H(2)O = an acid + NADH.		Acute alcohol intolerance; MIM:100650.	Ascorbate and aldarate metabolism	Carbohydrate Metabolism	METABOLIC
431413	3.4.19.16							
431413	6.3.5.2	GMP synthase (glutamine-hydrolysing).	"ATP + xanthosine 5'-phosphate + L-glutamine + H(2)O = AMP + diphosphate + GMP + L-glutamate."			Glutamate metabolism	Amino Acid Metabolism	METABOLIC
431413	6.3.5.2	GMP synthase (glutamine-hydrolysing).	"ATP + xanthosine 5'-phosphate + L-glutamine + H(2)O = AMP + diphosphate + GMP + L-glutamate."			Purine metabolism	Nucleotide Metabolism	METABOLIC
431571	1.1.1.2	Alcohol dehydrogenase (NADP+).	An alcohol + NADP(+) = an aldehyde + NADPH.	Zinc.		Caprolactam degradation	Biodegradation of Xenobiotics	METABOLIC
431571	1.1.1.2	Alcohol dehydrogenase (NADP+).	An alcohol + NADP(+) = an aldehyde + NADPH.	Zinc.		Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
431571	1.1.1.2	Alcohol dehydrogenase (NADP+).	An alcohol + NADP(+) = an aldehyde + NADPH.	Zinc.		Pentose and glucuronate interconversions	Carbohydrate Metabolism	METABOLIC
431571	1.1.1.2	Alcohol dehydrogenase (NADP+).	An alcohol + NADP(+) = an aldehyde + NADPH.	Zinc.		Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC
431583	3.1.3.2	Acid phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.		Acid phosphatase deficiency; MIM:200950.	gamma-Hexachlorocyclohexane degradation	Biodegradation of Xenobiotics	METABOLIC
431583	3.1.3.2	Acid phosphatase.	An orthophosphoric monoester + H(2)O = an alcohol + phosphate.		Acid phosphatase deficiency; MIM:200950.	Riboflavin metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
431689	1.13.11.4	Gentisate 1,2-dioxygenase.	2,5-dihydroxybenzoate + O(2) = maleylpyruvate.	Iron.		Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
431730	3.4.25.1	Proteasome endopeptidase complex.	Cleavage at peptide bonds with very broad specificity.					
432065	3.5.4.12	dCMP deaminase.	dCMP + H(2)O = dUMP + NH(3).			  Type II secretion system	SORTING AND DEGRADATION	REGULATORY
432065	3.5.4.12	dCMP deaminase.	dCMP + H(2)O = dUMP + NH(3).			Pyrimidine metabolism	Nucleotide Metabolism	METABOLIC
432195	2.8.1.9							
432346	2.3.2.23							
432530	4.2.1.6	Galactonate dehydratase.	D-galactonate = 2-dehydro-3-deoxy-D-galactonate + H(2)O.			Galactose metabolism	Carbohydrate Metabolism	METABOLIC
432587	1.1.1.65	Pyridoxine 4-dehydrogenase.	Pyridoxine + NADP(+) = pyridoxal + NADPH.			Vitamin B6 metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
432614	4.2.1.130							
432937	6.1.1.12	Aspartate--tRNA ligase.	ATP + L-aspartate + tRNA(Asp) = AMP + diphosphate + L-aspartyl- tRNA(Asp).			Alanine and aspartate metabolism	Amino Acid Metabolism	METABOLIC
432937	6.1.1.12	Aspartate--tRNA ligase.	ATP + L-aspartate + tRNA(Asp) = AMP + diphosphate + L-aspartyl- tRNA(Asp).			  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
432983	2.7.11.1							
433039	2.5.1.114							
433214	2.7.1.105	6-phosphofructo-2-kinase.	ATP + D-fructose 6-phosphate = ADP + D-fructose 2,6-bisphosphate.			Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
433214	3.1.3.46	Fructose-2,6-bisphosphate 2-phosphatase.	D-fructose 2,6-bisphosphate + H(2)O = D-fructose 6-phosphate + phosphate.			Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
433546	4.3.1.18							
433604	3.6.1.3	Adenosinetriphosphatase.	ATP + H(2)O = ADP + phosphate.		Hemolytic anemia due to deficiency of adenosine triphosphatase; MIM:102800.	Purine metabolism	Nucleotide Metabolism	METABOLIC
433627	5.3.1.9	Glucose-6-phosphate isomerase.	D-glucose 6-phosphate = D-fructose 6-phosphate.		Hemolytic anemia due to glucosephosphate isomerase deficiency; MIM:172400.	Starch and sucrose metabolism	Metabolism of Complex Carbohydrates	METABOLIC
433627	5.3.1.9	Glucose-6-phosphate isomerase.	D-glucose 6-phosphate = D-fructose 6-phosphate.		Hemolytic anemia due to glucosephosphate isomerase deficiency; MIM:172400.	Glycolysis / Gluconeogenesis	Carbohydrate Metabolism	METABOLIC
433627	5.3.1.9	Glucose-6-phosphate isomerase.	D-glucose 6-phosphate = D-fructose 6-phosphate.		Hemolytic anemia due to glucosephosphate isomerase deficiency; MIM:172400.	Pentose phosphate pathway	Carbohydrate Metabolism	METABOLIC
433709	1.4.3.21							
434190	2.7.11.1							
434227	5.4.99.25							
434277	6.3.2.1	Pantoate--beta-alanine ligase.	ATP + (R)-pantoate + beta-alanine = AMP + diphosphate + (R)-pantothenate.			Pantothenate and CoA biosynthesis	Metabolism of Cofactors and Vitamins	METABOLIC
434277	6.3.2.1	Pantoate--beta-alanine ligase.	ATP + (R)-pantoate + beta-alanine = AMP + diphosphate + (R)-pantothenate.			beta-Alanine metabolism	Metabolism of Other Amino Acids	METABOLIC
434300	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
434300	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Benzoate degradation via CoA ligation	Biodegradation of Xenobiotics	METABOLIC
434300	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Cyanoamino acid metabolism	Metabolism of Other Amino Acids	METABOLIC
434300	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Phenylalanine metabolism	Amino Acid Metabolism	METABOLIC
434300	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
434300	3.5.1.4	Amidase.	A monocarboxylic acid amide + H(2)O = a monocarboxylate + NH(3).			Styrene degradation	Biodegradation of Xenobiotics	METABOLIC
434348	3.4.11.10	Bacterial leucyl aminopeptidase.	Release of an N-terminal amino acid, preferentially leucine, but not glutamic or aspartic acids.	Zinc.				
434479	2.7.11.1							
434628	1.3.3.6	Acyl-CoA oxidase.	Acyl-CoA + O(2) = trans-2,3-dehydroacyl-CoA + H(2)O(2).	FAD.		Fatty acid metabolism	Lipid Metabolism	METABOLIC
434705	2.3.1.24	Sphingosine N-acyltransferase.	Acyl-CoA + sphingosine = CoA + N-acylsphingosine.			Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
434705	2.3.1.24	Sphingosine N-acyltransferase.	Acyl-CoA + sphingosine = CoA + N-acylsphingosine.			Sphingophospholipid biosynthesis	Metabolism of Complex Lipids	METABOLIC
434710	2.4.1.80	Ceramide glucosyltransferase.	UDP-glucose + N-acylsphingosine = UDP + D-glucosyl-N-acylsphingosine.			Sphingoglycolipid metabolism	Metabolism of Complex Lipids	METABOLIC
435035	1.1.1.289							
435063	6.1.1.17	Glutamate--tRNA ligase.	ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl- tRNA(Glu).			Glutamate metabolism	Amino Acid Metabolism	METABOLIC
435063	6.1.1.17	Glutamate--tRNA ligase.	ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl- tRNA(Glu).			Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
435063	6.1.1.17	Glutamate--tRNA ligase.	ATP + L-glutamate + tRNA(Glu) = AMP + diphosphate + L-glutamyl- tRNA(Glu).			  Aminoacyl-tRNA biosynthesis	TRANSLATION	REGULATORY
435170	2.6.1.16	Glutamine-fructose-6-phosphate transaminase (isomerizing).	L-glutamine + D-fructose 6-phosphate = L-glutamate + D-glucosamine 6-phosphate.			Aminosugars metabolism	Metabolism of Complex Carbohydrates	METABOLIC
435170	2.6.1.16	Glutamine-fructose-6-phosphate transaminase (isomerizing).	L-glutamine + D-fructose 6-phosphate = L-glutamate + D-glucosamine 6-phosphate.			Glutamate metabolism	Amino Acid Metabolism	METABOLIC
435443	2.6.1.27	Tryptophan aminotransferase.	L-tryptophan + 2-oxoglutarate = indole-3-pyruvate + L-glutamate.	Pyridoxal-phosphate.		Tryptophan metabolism	Amino Acid Metabolism	METABOLIC
435443	2.6.1.39	2-aminoadipate aminotransferase.	L-2-aminoadipate + 2-oxoglutarate = 2-oxoadipate + L-glutamate.	Pyridoxal-phosphate.		Lysine degradation	Amino Acid Metabolism	METABOLIC
435443	2.6.1.39	2-aminoadipate aminotransferase.	L-2-aminoadipate + 2-oxoglutarate = 2-oxoadipate + L-glutamate.	Pyridoxal-phosphate.		Lysine biosynthesis	Amino Acid Metabolism	METABOLIC
435443	2.6.1.5	Tyrosine aminotransferase.	L-tyrosine + 2-oxoglutarate = 4-hydroxyphenylpyruvate + L-glutamate.	Pyridoxal-phosphate.	Tyrosinemia II (Richner-Hanhart syndrome); MIM:276600.	Phenylalanine metabolism	Amino Acid Metabolism	METABOLIC
435443	2.6.1.5	Tyrosine aminotransferase.	L-tyrosine + 2-oxoglutarate = 4-hydroxyphenylpyruvate + L-glutamate.	Pyridoxal-phosphate.	Tyrosinemia II (Richner-Hanhart syndrome); MIM:276600.	Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
435443	2.6.1.5	Tyrosine aminotransferase.	L-tyrosine + 2-oxoglutarate = 4-hydroxyphenylpyruvate + L-glutamate.	Pyridoxal-phosphate.	Tyrosinemia II (Richner-Hanhart syndrome); MIM:276600.	Alkaloid biosynthesis I	Biosynthesis of Secondary Metabolites	METABOLIC
435443	2.6.1.5	Tyrosine aminotransferase.	L-tyrosine + 2-oxoglutarate = 4-hydroxyphenylpyruvate + L-glutamate.	Pyridoxal-phosphate.	Tyrosinemia II (Richner-Hanhart syndrome); MIM:276600.	Phenylalanine, tyrosine and tryptophan biosynthesis	Amino Acid Metabolism	METABOLIC
435443	2.6.1.57	Aromatic amino acid transferase.	An aromatic amino acid + 2-oxoglutarate = an aromatic oxo acid + L-glutamate.	Pyridoxal-phosphate.		Tyrosine metabolism	Amino Acid Metabolism	METABOLIC
435443	2.6.1.57	Aromatic amino acid transferase.	An aromatic amino acid + 2-oxoglutarate = an aromatic oxo acid + L-glutamate.	Pyridoxal-phosphate.		Phenylalanine, tyrosine and tryptophan biosynthesis	Amino Acid Metabolism	METABOLIC
435443	2.6.1.57	Aromatic amino acid transferase.	An aromatic amino acid + 2-oxoglutarate = an aromatic oxo acid + L-glutamate.	Pyridoxal-phosphate.		Alkaloid biosynthesis I	Biosynthesis of Secondary Metabolites	METABOLIC
435443	2.6.1.57	Aromatic amino acid transferase.	An aromatic amino acid + 2-oxoglutarate = an aromatic oxo acid + L-glutamate.	Pyridoxal-phosphate.		Phenylalanine metabolism	Amino Acid Metabolism	METABOLIC
435583	3.6.4.13							
435623	2.1.1.43	Histone-lysine N-methyltransferase.	S-adenosyl-L-methionine + histone L-lysine = S-adenosyl-L-homocysteine + histone N6-methyl-L-lysine.			Lysine degradation	Amino Acid Metabolism	METABOLIC
435642	3.2.1.101	Mannan endo-1,6-beta-mannosidase.	Random hydrolysis of 1,6-beta-D-mannosidic linkages in unbranched 1,6-mannans.					
435671	2.3.1.86	Fatty-acyl-CoA synthase.	Acetyl-CoA + N malonyl-CoA + 2N NADH + 2N NADPH = a long-chain acyl-CoA + N CoA + N CO(2) + 2N NAD(+) + 2N NADP(+).			Fatty acid biosynthesis (path 1)	Lipid Metabolism	METABOLIC
435720	2.3.1.22	2-acylglycerol O-acyltransferase.	Acyl-CoA + 2-acylglycerol = CoA + diacylglycerol.			Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
435802	3.4.11.5	Prolyl aminopeptidase.	Release of a N-terminal proline from a peptide.	Manganese.		Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
435829	3.2.1.113	Mannosyl-oligosaccharide 1,2-alpha-mannosidase.	Hydrolysis of the terminal 1,2-linked alpha-D-mannose residues in the oligo-mannose oligosaccharide Man(9)(GlcNAc)(2).			N-Glycans biosynthesis	Metabolism of Complex Carbohydrates	METABOLIC
435961	3.4.21.89	Signal peptidase I.	Cleavage of N-terminal leader sequences from secreted and periplasmic proteins precursor.			  Protein export	SORTING AND DEGRADATION	REGULATORY
436169	2.7.11.1							
436249	3.6.3.44	Xenobiotic-transporting ATPase.	ATP + H(2)O + xenobiotic(In) = ADP + phosphate + xenobiotic(Out).					
436911	3.6.1.3	Adenosinetriphosphatase.	ATP + H(2)O = ADP + phosphate.		Hemolytic anemia due to deficiency of adenosine triphosphatase; MIM:102800.	Purine metabolism	Nucleotide Metabolism	METABOLIC
436928	5.2.1.8	Peptidylprolyl isomerase.	Peptidylproline (omega=180) = peptidylproline (omega=0).					
437283	1.5.1.10	Saccharopine dehydrogenase (NADP+, L-glutamate forming).	N6-(L-1,3-dicarboxypropyl)-L-lysine + NADP(+) + H(2)O = L-glutamate + 2-aminoadipate 6-semialdehyde + NADPH.			Lysine biosynthesis	Amino Acid Metabolism	METABOLIC
437283	2.5.1.16	Spermidine synthase.	"S-adenosylmethioninamine + putrescine = 5'-methylthioadenosine + spermidine."			Urea cycle and metabolism of amino groups	Amino Acid Metabolism	METABOLIC
437283	2.5.1.16	Spermidine synthase.	"S-adenosylmethioninamine + putrescine = 5'-methylthioadenosine + spermidine."			beta-Alanine metabolism	Metabolism of Other Amino Acids	METABOLIC
437283	2.5.1.16	Spermidine synthase.	"S-adenosylmethioninamine + putrescine = 5'-methylthioadenosine + spermidine."			Arginine and proline metabolism	Amino Acid Metabolism	METABOLIC
437819	2.7.11.25							
438029	1.1.1.37	Malate dehydrogenase.	(S)-malate + NAD(+) = oxaloacetate + NADH.			Citrate cycle (TCA cycle)	Carbohydrate Metabolism	METABOLIC
438029	1.1.1.37	Malate dehydrogenase.	(S)-malate + NAD(+) = oxaloacetate + NADH.			Reductive carboxylate cycle (CO2 fixation)	Energy Metabolism	METABOLIC
438029	1.1.1.37	Malate dehydrogenase.	(S)-malate + NAD(+) = oxaloacetate + NADH.			Carbon fixation	Energy Metabolism	METABOLIC
438029	1.1.1.37	Malate dehydrogenase.	(S)-malate + NAD(+) = oxaloacetate + NADH.			Glyoxylate and dicarboxylate metabolism	Carbohydrate Metabolism	METABOLIC
438029	1.1.1.37	Malate dehydrogenase.	(S)-malate + NAD(+) = oxaloacetate + NADH.			Pyruvate metabolism	Carbohydrate Metabolism	METABOLIC
438036	2.4.2.28	"5'-methylthioadenosine phosphorylase."	"5'-methylthioadenosine + phosphate = adenine + 5-methylthio-D- ribose 1-phosphate."					
438042	2.6.1.2	Alanine aminotransferase.	L-alanine + 2-oxoglutarate = pyruvate + L-glutamate.	Pyridoxal-phosphate.		Alanine and aspartate metabolism	Amino Acid Metabolism	METABOLIC
438042	2.6.1.2	Alanine aminotransferase.	L-alanine + 2-oxoglutarate = pyruvate + L-glutamate.	Pyridoxal-phosphate.		Carbon fixation	Energy Metabolism	METABOLIC
438042	2.6.1.2	Alanine aminotransferase.	L-alanine + 2-oxoglutarate = pyruvate + L-glutamate.	Pyridoxal-phosphate.		Glutamate metabolism	Amino Acid Metabolism	METABOLIC
438097	3.6.4.13							
438486	3.1.26.3	Ribonuclease III.	"Endonucleolytic cleavage to 5'-phosphomonoester."					
438972	3.1.1.97							
438981	2.7.7.13	Mannose-1-phosphate guanylyltransferase.	GTP + alpha-D-mannose 1-phosphate = diphosphate + GDP-mannose.			Fructose and mannose metabolism	Carbohydrate Metabolism	METABOLIC
438995	4.4.1.17	Holocytochrome-c synthase.	Holocytochrome c = apocytochrome c + heme.			Porphyrin and chlorophyll metabolism	Metabolism of Cofactors and Vitamins	METABOLIC
439073	3.6.3.8	Calcium-transporting ATPase.	ATP + H(2)O + Ca(2+)(Cis) = ADP + phosphate + Ca(2+)(Trans).	Magnesium.	Darier disease; MIM:124200. Benign chronic pemphigus; MIM:169600.			
439428	3.6.3.16	Arsenite-transporting ATPase.	ATP + H(2)O + arsenite(In) = ADP + phosphate + arsenite(Out).					
439513	2.1.1.317							
439529	1.4.4.2	Glycine dehydrogenase (decarboxylating).	Glycine + lipoylprotein = S-aminomethyldihydrolipoylprotein + CO(2).	Pyridoxal-phosphate.	Nonketotic hyperglycinemia type II; MIM:238310.	Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
439780	1.3.1.89							
439910	1.1.1.3	Homoserine dehydrogenase.	L-homoserine + NAD(P)(+) = L-aspartate 4-semialdehyde + NAD(P)H.			Lysine biosynthesis	Amino Acid Metabolism	METABOLIC
439910	1.1.1.3	Homoserine dehydrogenase.	L-homoserine + NAD(P)(+) = L-aspartate 4-semialdehyde + NAD(P)H.			Glycine, serine and threonine metabolism	Amino Acid Metabolism	METABOLIC
440351	2.7.7.79							
440649	2.3.1.7	Carnitine O-acetyltransferase.	Acetyl-CoA + carnitine = CoA + O-acetylcarnitine.			Alanine and aspartate metabolism	Amino Acid Metabolism	METABOLIC
440666	6.2.1.3	Long-chain-fatty-acid--CoA ligase.	ATP + a long-chain carboxylic acid + CoA = AMP + diphosphate + an acyl-CoA.			Fatty acid metabolism	Lipid Metabolism	METABOLIC
440865	3.1.1.3	Triacylglycerol lipase.	Triacylglycerol + H(2)O = diacylglycerol + a fatty acid anion.		Hepatic lipase deficiency; MIM:151670. Congenital lipase deficiency; MIM:246600. Wolman disease; MIM:278000.	Glycerolipid metabolism	Metabolism of Complex Lipids	METABOLIC
441025	3.1.26.11							
441632	2.2.1.1	Transketolase.	Sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate = D-ribose 5-phosphate + D-xylulose 5-phosphate.	Thiamine pyrophosphate.	Wernicke-Korsakoff syndrome; MIM:277730.	Pentose phosphate pathway	Carbohydrate Metabolism	METABOLIC
441632	2.2.1.1	Transketolase.	Sedoheptulose 7-phosphate + D-glyceraldehyde 3-phosphate = D-ribose 5-phosphate + D-xylulose 5-phosphate.	Thiamine pyrophosphate.	Wernicke-Korsakoff syndrome; MIM:277730.	Carbon fixation	Energy Metabolism	METABOLIC
441684	3.4.11.22	Aminopeptidase I	Release of an N-terminal amino acid, preferably a neutral or hydrophobic one, from a polypeptide. Aminoacyl-arylamides are poor substrates.					
441747	2.3.3.1	Citrate (si)-synthase.		Citrate + CoA = acetyl-CoA + H(2)O + oxaloacetate.				
441795	3.6.4.12							
